State,Year,Population
California,2019,39538223
Texas,2019,28701845
Florida,2019,21477737
New York,2019,19453561
Pennsylvania,2019,12801989
Illinois,2019,12671821
Ohio,2019,11689100
Georgia,2019,10617423
North Carolina,2019,10488084
Michigan,2019,9986857
California,2020,39538223
Texas,2020,29145505
Florida,2020,21538187
New York,2020,20201249
Pennsylvania,2020,13002700
Illinois,2020,12812508
Ohio,2020,11799448
Georgia,2020,10711908
North Carolina,2020,10439388
Michigan,2020,10077331
